ds,yhat,yhat_lower,yhat_upper
2025-10-04,71.70319602555499,70.00860928813483,73.31987401200084
2025-10-05,72.28325512951932,70.4453098993395,74.0330044523283
2025-10-06,71.59274157398545,69.91248288889379,73.25560156374823
2025-10-07,72.55885782476113,70.75018129440747,74.17939623491516
2025-10-08,72.0406783340259,70.4302617237215,73.88409777669962
2025-10-09,71.97741048545922,70.37274285992908,73.6629533909828
2025-10-10,72.69140771449204,71.03281875018376,74.34780399187922
2025-10-11,70.68311267570618,69.03575094824573,72.25683379234768
2025-10-12,71.26317175728731,69.56243463548567,73.06935508946012
2025-10-13,70.57265817877848,68.73677466165493,72.16376356506926
2025-10-14,71.5387743951164,69.86115820906436,73.21336884602813
2025-10-15,71.02059486993495,69.31046155368847,72.64345057510353
2025-10-16,70.95732698696551,69.12831289997253,72.74955150139978
2025-10-17,71.67132418159525,70.06309671083136,73.33548679829225
2025-10-18,69.66302913072848,67.89763606760296,71.36316131920896
2025-10-19,70.24308820023448,68.54574348619285,72.0269964543689
2025-10-20,69.55264624789872,67.75434880071596,71.19726992202068
2025-10-21,70.51883410167987,68.80230772001744,72.19184646555088
2025-10-22,70.00120836163504,68.3386917103364,71.68702314203544
2025-10-23,69.9384942639647,68.22356251358602,71.6053859174998
2025-10-24,70.68590229609342,69.10399908640011,72.37047918337942
2025-10-25,68.71101808279197,66.96502461372725,70.46962984837938
2025-10-26,69.32463870993598,67.73027120037142,71.06443863122477
2025-10-27,68.66768667758062,66.94692679430212,70.39676772698243
2025-10-28,69.97296743858844,68.32478289629775,71.59182201818656
2025-10-29,69.79485383996692,68.16296611183166,71.53484225395029
2025-10-30,70.07165188370334,68.46406928457023,71.77213897329095
2025-10-31,71.1257154721462,69.54149753114373,72.93563679907567
2025-11-01,69.4574868151583,67.72195806961093,71.22684999259438
2025-11-02,70.37761227884026,68.68606108983049,72.0859657317436
2025-11-03,70.02716508302163,68.42620324406198,71.73815907243153
2025-11-04,71.33334769313288,69.59083427475788,72.87231293209268
2025-11-05,71.15523456172674,69.40780659271866,72.82745167599846
2025-11-06,71.43203307182488,69.81698073440229,73.2288006295614
2025-11-07,72.48609665951449,70.900269180561,74.20199993883521
2025-11-08,70.81751817543775,69.05264234433683,72.51938248694468
2025-11-09,71.73729381172706,70.14083907004415,73.57935878637771
2025-11-10,71.38649241006827,69.79631592490244,72.97538509302049
2025-11-11,72.6923208145201,71.06996115045894,74.27936750241696
2025-11-12,72.51357889788679,70.80652756567461,74.20556198365163
2025-11-13,72.78891815130135,71.18364692308762,74.47140588088955
2025-11-14,73.84152248231517,72.126287278307,75.52431848190767
2025-11-15,71.88540661515323,70.1744420821449,73.66482448857658
2025-11-16,72.5176448683566,70.76827202680714,74.2456581326713
2025-11-17,71.87930252704602,70.19890976007005,73.63914445790893
2025-11-18,72.89758999184825,71.15300412678425,74.63262178607332
2025-11-19,72.43158171519003,70.75571027231655,74.11957129641264
2025-11-20,72.42048508089448,70.70623533994141,74.14262619057584
2025-11-21,73.18665352414367,71.51869041558398,74.90116098413272
2025-11-22,71.2305297219613,69.60184803812145,72.97272983623805
2025-11-23,71.86276004015014,70.15805705461594,73.60412844056908
2025-11-24,71.22441769883878,69.38970380798793,72.81666260222346
2025-11-25,72.24270516364736,70.5458510359417,73.96007058038514
2025-11-26,71.77669688693165,70.20067436744195,73.34439854740867
2025-11-27,71.76560025257899,70.10652136317663,73.46443216878116
2025-11-28,72.53176869582627,70.92399476984666,74.13982566094576
2025-11-29,70.57564489364924,68.97536313704066,72.3066093977725
2025-11-30,71.20787521183603,69.47868074294935,72.89543756848813
2025-12-01,70.569532870525,68.82783867160845,72.15681600718524
2025-12-02,71.58782033532754,69.9566111252632,73.23022223240082
2025-12-03,71.1218120586178,69.43109154551718,72.80617142297751
2025-12-04,71.11071542426755,69.42512002654705,72.7688886802507
2025-12-05,71.87688386751329,70.22650158857101,73.62604672914905
2025-12-06,69.92076006533446,68.20669453772898,71.56086500490343
2025-12-07,70.552990383521,68.78828813708775,72.29916931403524
2025-12-08,69.9146480422112,68.2023444804229,71.54387003249109
2025-12-09,70.93293550701175,69.19152939767375,72.69425706161188
2025-12-10,70.46692723030374,68.86924995222023,72.19756544407393
2025-12-11,70.45583059595612,68.76148846606894,72.2024895555672
2025-12-12,71.22199903919875,69.44692256771005,73.01284821151879
2025-12-13,69.26587523701757,67.51662607397697,70.94524602365358
2025-12-14,69.89810555520599,68.18034798884013,71.86762445284327
2025-12-15,69.25976321389467,67.31924332639932,71.0794513655062
2025-12-16,70.27805067869593,68.4253131715998,72.13980493713406
